Customer_ID,Gender,Age,Tenure_Months,Contract_Type,Payment_Method,Customer_Segment,Monthly_Charges,Total_Charges,Churn
CUST0001,Male,34,20,Month-to-Month,Credit Card,Adult,48.83,944.11,No
CUST0002,Female,26,61,Two Year,Credit Card,Young,61.28,3654.12,No
CUST0003,Male,50,35,One Year,Bank Transfer,Senior,53.72,1744.21,No
CUST0004,Male,70,50,One Year,Credit Card,Senior,31.39,1644.26,No
CUST0005,Male,37,62,Month-to-Month,Credit Card,Adult,31.69,2105.05,No
CUST0006,Female,30,17,Two Year,Credit Card,Adult,45.12,834.34,Yes
CUST0007,Male,45,3,Two Year,Electronic Check,Adult,26.57,79.59,Yes
CUST0008,Male,65,32,One Year,Credit Card,Senior,101.44,3376.49,No
CUST0009,Male,46,13,Month-to-Month,Electronic Check,Adult,57.35,798.57,No
CUST0010,Female,30,68,Month-to-Month,UPI,Adult,56.37,3770.52,No
CUST0011,Male,63,14,Month-to-Month,Bank Transfer,Senior,63.16,850.54,No
CUST0012,Male,52,11,Month-to-Month,UPI,Senior,106.16,1269.76,No
CUST0013,Male,23,56,Month-to-Month,Electronic Check,Young,133.18,7481.46,No
CUST0014,Male,35,67,Two Year,UPI,Adult,118.68,7947.19,No
CUST0015,Female,68,29,Month-to-Month,UPI,Senior,114.58,3109.11,Yes
CUST0016,Male,22,9,Month-to-Month,Bank Transfer,Young,82.97,688.21,No
CUST0017,Female,64,67,Month-to-Month,Bank Transfer,Senior,110.19,7887.87,Yes
CUST0018,Female,42,25,Month-to-Month,Electronic Check,Adult,91.86,2348.92,Yes
CUST0019,Female,19,42,Month-to-Month,UPI,Young,48.11,1950.23,No
CUST0020,Male,27,9,Month-to-Month,Credit Card,Young,47.12,397.93,No
CUST0021,Female,47,40,Month-to-Month,Electronic Check,Adult,58.53,2367.19,No
CUST0022,Male,67,25,One Year,Electronic Check,Senior,138.4,3518.07,Yes
CUST0023,Female,62,5,Two Year,UPI,Senior,91.16,429.09,No
CUST0024,Female,22,11,Month-to-Month,UPI,Young,115.41,1358.73,Yes
CUST0025,Female,50,59,Month-to-Month,UPI,Senior,65.05,3518.84,No
CUST0026,Female,18,38,Two Year,Bank Transfer,Young,73.0,2694.16,No
CUST0027,Female,35,72,Month-to-Month,Electronic Check,Adult,36.32,2709.38,No
CUST0028,Female,49,5,Month-to-Month,Electronic Check,Adult,42.27,201.8,Yes
CUST0029,Female,64,48,Two Year,Electronic Check,Senior,127.56,6524.14,Yes
CUST0030,Female,66,18,Month-to-Month,Electronic Check,Senior,96.03,1811.46,Yes
CUST0031,Male,28,70,One Year,Credit Card,Young,63.88,4730.08,No
CUST0032,Male,38,37,One Year,Electronic Check,Adult,124.37,4251.14,No
CUST0033,Female,43,60,Month-to-Month,Credit Card,Adult,52.05,2898.49,Yes
CUST0034,Female,42,48,Month-to-Month,,Adult,146.88,6749.16,No
CUST0035,Female,39,28,One Year,Credit Card,Adult,64.83,1821.8,No
CUST0036,Male,44,69,Month-to-Month,UPI,Adult,63.85,4624.18,No
CUST0037,Female,66,40,Month-to-Month,Bank Transfer,Senior,60.55,2585.02,No
CUST0038,Male,30,45,One Year,Electronic Check,Adult,35.87,1680.12,No
CUST0039,Male,50,62,Month-to-Month,Credit Card,Senior,34.45,2318.99,Yes
CUST0040,Male,51,58,Month-to-Month,,Senior,104.25,6335.21,Yes
CUST0041,Male,58,67,Two Year,Electronic Check,Senior,133.77,8615.32,Yes
CUST0042,Male,52,56,Month-to-Month,Bank Transfer,Senior,122.77,6552.1,No
CUST0043,Female,18,40,Two Year,Electronic Check,Young,38.34,1593.78,No
CUST0044,Female,38,40,One Year,Electronic Check,Adult,90.93,3413.78,No
CUST0045,Female,65,33,One Year,Credit Card,Senior,33.73,1022.42,Yes
CUST0046,Female,23,6,Month-to-Month,UPI,Young,25.89,156.34,No
CUST0047,Female,45,19,Two Year,Bank Transfer,Adult,105.33,2130.01,Yes
CUST0048,Male,34,40,Month-to-Month,Bank Transfer,Adult,89.57,3297.16,Yes
CUST0049,Female,22,59,One Year,Electronic Check,Young,30.66,1914.54,No
CUST0050,Female,48,59,Month-to-Month,Bank Transfer,Adult,24.54,1538.08,No
CUST0051,Male,22,48,Month-to-Month,Bank Transfer,Young,148.67,7110.86,No
CUST0052,Female,55,41,Month-to-Month,Bank Transfer,Senior,23.9,893.14,No
CUST0053,Male,20,13,Two Year,UPI,Young,77.79,945.45,Yes
CUST0054,Female,70,45,Two Year,Electronic Check,Senior,85.6,4011.8,No
CUST0055,Male,40,53,Month-to-Month,UPI,Adult,35.25,1947.38,No
CUST0056,Female,54,42,Month-to-Month,UPI,Senior,41.98,1903.63,No
CUST0057,Female,70,63,One Year,Electronic Check,Senior,65.73,4209.47,No
CUST0058,Male,54,27,Month-to-Month,Credit Card,Senior,119.02,2971.95,No
CUST0059,Male,27,38,Month-to-Month,UPI,Young,85.92,3017.75,No
CUST0060,Male,27,60,One Year,Electronic Check,Young,102.93,6448.93,Yes
CUST0061,Male,36,7,Month-to-Month,Credit Card,Adult,148.07,970.94,Yes
CUST0062,Male,34,5,Two Year,UPI,Adult,119.84,578.63,No
CUST0063,Male,38,45,Month-to-Month,Credit Card,Adult,76.47,3432.35,Yes
CUST0064,Male,31,58,Month-to-Month,Electronic Check,Adult,78.04,4096.11,No
CUST0065,Male,26,31,Month-to-Month,Credit Card,Young,100.44,2957.22,No
CUST0066,Female,63,23,One Year,Electronic Check,Senior,,2404.38,No
CUST0067,Female,18,42,Month-to-Month,Credit Card,Young,85.09,3416.27,Yes
CUST0068,Male,68,10,One Year,Electronic Check,Senior,103.83,962.79,Yes
CUST0069,Female,62,32,Month-to-Month,Bank Transfer,Senior,23.06,771.57,No
CUST0070,Female,30,53,Two Year,Credit Card,Adult,75.85,4271.82,No
CUST0071,Female,21,30,Month-to-Month,Bank Transfer,Young,56.26,1605.93,No
CUST0072,Female,18,39,Month-to-Month,Bank Transfer,Young,36.79,1513.56,No
CUST0073,Male,66,31,One Year,Credit Card,Senior,32.94,997.77,No
CUST0074,Female,57,2,Month-to-Month,Bank Transfer,Senior,98.41,197.08,No
CUST0075,Male,49,12,Month-to-Month,Electronic Check,Adult,88.07,1132.09,Yes
CUST0076,Female,51,39,Two Year,Credit Card,Senior,52.97,2169.1,No
CUST0077,Female,45,66,Month-to-Month,Electronic Check,Adult,81.22,5687.64,No
CUST0078,Female,48,13,One Year,UPI,Adult,83.99,1012.57,Yes
CUST0079,Male,25,46,Month-to-Month,Electronic Check,Young,45.35,1906.58,No
CUST0080,Female,56,27,One Year,Credit Card,Senior,104.77,3051.36,No
CUST0081,Male,43,17,Month-to-Month,Bank Transfer,Adult,121.52,2019.5,No
CUST0082,Female,51,60,Month-to-Month,Credit Card,Senior,122.89,7060.59,No
CUST0083,Male,20,64,Two Year,Electronic Check,Young,98.32,6575.26,No
CUST0084,Female,67,35,One Year,Credit Card,Senior,86.51,3231.57,No
CUST0085,Male,29,70,Month-to-Month,Bank Transfer,Young,27.93,2096.84,No
CUST0086,Male,18,30,Month-to-Month,Bank Transfer,Young,57.42,1659.21,No
CUST0087,Female,61,71,Two Year,Credit Card,Senior,32.13,2441.93,No
CUST0088,Male,22,63,Month-to-Month,Credit Card,Young,145.3,8313.45,No
CUST0089,Female,47,28,One Year,Credit Card,Adult,37.56,956.96,No
CUST0090,Female,47,60,One Year,Bank Transfer,Adult,39.73,2442.69,No
CUST0091,Female,34,37,Month-to-Month,Credit Card,Adult,135.64,4580.15,No
CUST0092,Female,65,22,Month-to-Month,Credit Card,Senior,142.71,3029.49,Yes
CUST0093,Female,64,68,One Year,Electronic Check,Senior,119.56,8410.98,No
CUST0094,Female,40,20,Month-to-Month,Electronic Check,Adult,20.7,400.53,Yes
CUST0095,Female,32,68,Month-to-Month,Electronic Check,Adult,20.18,1284.31,No
CUST0096,Female,54,64,Two Year,Electronic Check,Senior,69.15,4232.07,No
CUST0097,Female,38,17,One Year,Credit Card,Adult,38.64,651.31,No
CUST0098,Female,31,12,One Year,Bank Transfer,Adult,22.39,267.36,Yes
CUST0099,Female,19,22,One Year,Electronic Check,Young,80.33,1867.29,No
CUST0100,Male,28,17,One Year,UPI,Young,142.6,2545.48,No
CUST0101,Male,68,10,Month-to-Month,Electronic Check,Senior,62.1,615.64,Yes
CUST0102,Female,56,65,Month-to-Month,Bank Transfer,Senior,105.95,7362.85,Yes
CUST0103,Female,55,22,Month-to-Month,Bank Transfer,Senior,104.79,2127.51,Yes
CUST0104,Female,51,50,Month-to-Month,Credit Card,Senior,52.64,2503.22,No
CUST0105,Female,55,14,One Year,Electronic Check,Senior,104.56,1559.86,No
CUST0106,Female,67,64,Month-to-Month,Bank Transfer,Senior,47.6,2972.06,No
CUST0107,Female,51,47,Month-to-Month,Credit Card,Senior,35.86,1847.62,Yes
CUST0108,Female,35,29,Month-to-Month,UPI,Adult,111.18,3202.46,No
CUST0109,Female,47,36,Month-to-Month,Credit Card,Adult,34.75,1324.04,Yes
CUST0110,Male,32,52,Month-to-Month,UPI,Adult,149.6,7627.21,No
CUST0111,Female,44,7,Month-to-Month,Electronic Check,Adult,43.85,302.34,Yes
CUST0112,Male,68,29,Month-to-Month,Bank Transfer,Senior,97.24,2753.91,No
CUST0113,Female,51,11,Month-to-Month,Bank Transfer,Senior,73.48,843.69,No
CUST0114,Female,69,33,Month-to-Month,Bank Transfer,Senior,36.43,1213.62,No
CUST0115,Male,55,6,One Year,Electronic Check,Senior,23.62,154.3,No
CUST0116,Female,50,32,Month-to-Month,Bank Transfer,Senior,100.96,3069.76,No
CUST0117,Male,41,51,Month-to-Month,Credit Card,Adult,124.88,5860.09,No
CUST0118,Female,32,58,One Year,Bank Transfer,Adult,129.46,7348.39,No
CUST0119,Female,47,26,Month-to-Month,Electronic Check,Adult,82.75,2201.72,Yes
CUST0120,Male,59,46,Two Year,UPI,Senior,121.07,5971.09,No
CUST0121,Female,68,29,Month-to-Month,Electronic Check,Senior,107.47,3020.76,No
CUST0122,Male,34,4,Month-to-Month,UPI,Adult,114.15,470.64,Yes
CUST0123,Female,22,13,One Year,UPI,Young,84.04,1059.79,No
CUST0124,Male,46,39,Month-to-Month,UPI,Adult,102.34,4084.83,Yes
CUST0125,Male,21,15,One Year,Credit Card,Young,124.72,2014.78,No
CUST0126,Female,27,29,Month-to-Month,Credit Card,Young,71.72,1968.13,Yes
CUST0127,Female,34,29,Two Year,UPI,Adult,124.78,3549.32,Yes
CUST0128,Male,27,32,Month-to-Month,Electronic Check,Young,96.96,3408.81,Yes
CUST0129,Female,34,2,Month-to-Month,Credit Card,Adult,41.57,89.27,No
CUST0130,Female,37,47,One Year,Bank Transfer,Adult,23.21,1104.97,No
CUST0131,Female,41,22,Month-to-Month,Bank Transfer,Adult,67.16,1482.43,No
CUST0132,Male,22,27,Month-to-Month,Electronic Check,Young,91.07,2352.96,Yes
CUST0133,Male,51,67,One Year,Bank Transfer,Senior,129.18,8684.85,Yes
CUST0134,Male,23,56,Two Year,UPI,Young,36.57,2190.53,No
CUST0135,Male,70,21,Month-to-Month,Electronic Check,Senior,124.03,2701.09,No
CUST0136,Male,19,47,One Year,UPI,Young,132.19,5952.04,No
CUST0137,Male,30,59,Two Year,Electronic Check,Adult,39.59,2196.35,Yes
CUST0138,Male,60,6,Two Year,Credit Card,Senior,130.71,747.43,No
CUST0139,Male,60,19,Month-to-Month,Electronic Check,Senior,148.89,2642.07,No
CUST0140,Male,65,57,One Year,Electronic Check,Senior,114.49,5998.17,Yes
CUST0141,Female,28,69,Month-to-Month,UPI,Young,122.02,8283.22,Yes
CUST0142,Male,68,3,Two Year,Credit Card,Senior,149.27,413.18,No
CUST0143,Female,64,1,Month-to-Month,Credit Card,Senior,98.71,92.23,No
CUST0144,Female,40,58,Month-to-Month,Electronic Check,Adult,60.03,3514.69,No
CUST0145,Female,33,38,One Year,Credit Card,Adult,128.88,4568.92,No
CUST0146,Male,48,15,Month-to-Month,Credit Card,Adult,99.88,1367.52,No
CUST0147,Male,28,34,Two Year,Credit Card,Young,95.56,3130.38,No
CUST0148,Male,33,61,Two Year,Electronic Check,Adult,52.97,3050.43,No
CUST0149,Male,25,35,One Year,UPI,Young,118.32,4153.88,No
CUST0150,Female,21,64,Month-to-Month,Credit Card,Young,30.62,1803.83,Yes
CUST0151,Male,57,25,One Year,Credit Card,Senior,140.16,3680.44,No
CUST0152,Male,21,24,Month-to-Month,Electronic Check,Young,62.36,1618.24,Yes
CUST0153,Male,42,12,Month-to-Month,Bank Transfer,Adult,36.61,460.71,Yes
CUST0154,Male,20,18,Two Year,Credit Card,Young,77.51,1404.34,No
CUST0155,Male,49,15,Month-to-Month,Credit Card,Adult,25.52,410.41,No
CUST0156,Female,20,27,Month-to-Month,Electronic Check,Young,109.0,3057.73,No
CUST0157,Male,44,72,Two Year,UPI,Adult,137.35,8921.15,Yes
CUST0158,Female,46,60,Month-to-Month,Electronic Check,Adult,128.84,7566.65,No
CUST0159,Male,49,46,Month-to-Month,Bank Transfer,Adult,36.56,1799.8,No
CUST0160,Female,67,17,Two Year,Credit Card,Senior,36.42,600.05,No
CUST0161,Male,68,53,Month-to-Month,Electronic Check,Senior,125.75,6045.22,No
CUST0162,Male,36,8,One Year,Bank Transfer,Adult,140.15,1176.4,No
CUST0163,Female,38,27,Two Year,Electronic Check,Adult,79.89,2287.33,Yes
CUST0164,Female,22,46,Two Year,UPI,Young,84.87,3639.01,No
CUST0165,Female,35,50,One Year,UPI,Adult,61.37,3091.42,Yes
CUST0166,Male,45,71,Month-to-Month,UPI,Adult,136.25,9077.76,Yes
CUST0167,Female,59,3,Month-to-Month,Electronic Check,Senior,103.84,325.18,Yes
CUST0168,Male,39,64,Two Year,Bank Transfer,Adult,57.47,3510.03,No
CUST0169,Male,38,44,Two Year,Credit Card,Adult,58.84,2493.8,No
CUST0170,Female,23,53,Month-to-Month,UPI,Young,135.86,7697.38,No
CUST0171,Female,18,24,Month-to-Month,Bank Transfer,Young,21.77,520.01,Yes
CUST0172,Male,22,60,Month-to-Month,UPI,Young,61.95,3843.2,No
CUST0173,Male,58,3,Month-to-Month,Credit Card,Senior,92.07,270.82,No
CUST0174,Female,29,20,One Year,Credit Card,Young,39.27,753.67,No
CUST0175,Female,43,46,Month-to-Month,Electronic Check,Adult,31.97,1507.53,Yes
CUST0176,Female,63,15,Two Year,Bank Transfer,Senior,125.99,1759.4,No
CUST0177,Male,51,25,One Year,Credit Card,Senior,136.27,3320.22,No
CUST0178,Male,66,71,Month-to-Month,Credit Card,Senior,127.07,8496.96,No
CUST0179,Male,31,17,One Year,Bank Transfer,Adult,136.84,2417.37,No
CUST0180,Male,43,9,Month-to-Month,Credit Card,Adult,91.9,900.58,No
CUST0181,Male,62,38,One Year,Electronic Check,Senior,125.59,5245.38,Yes
CUST0182,Male,44,48,One Year,Credit Card,Adult,69.93,3323.26,No
CUST0183,Female,26,60,Two Year,Credit Card,Young,106.61,6080.01,No
CUST0184,Male,43,63,Two Year,Credit Card,Adult,148.55,9251.64,Yes
CUST0185,Male,64,2,Month-to-Month,Electronic Check,Senior,49.34,105.53,Yes
CUST0186,Male,39,72,Month-to-Month,Electronic Check,Adult,70.69,4790.41,Yes
CUST0187,Female,64,11,One Year,Electronic Check,Senior,82.41,988.48,No
CUST0188,Male,47,64,Month-to-Month,Bank Transfer,Adult,37.94,2351.36,No
CUST0189,Male,60,72,Month-to-Month,Electronic Check,Senior,30.54,2412.52,Yes
CUST0190,Female,65,21,Month-to-Month,Credit Card,Senior,127.86,2866.9,No
CUST0191,Male,34,18,One Year,UPI,Adult,146.98,2808.91,No
CUST0192,Male,43,64,Month-to-Month,Electronic Check,Adult,72.61,4477.8,No
CUST0193,Male,53,38,One Year,Credit Card,Senior,31.39,1075.63,No
CUST0194,Male,18,32,Two Year,Bank Transfer,Young,28.56,892.38,No
CUST0195,Male,25,11,Month-to-Month,UPI,Young,135.87,1435.33,Yes
CUST0196,Female,66,45,Month-to-Month,Bank Transfer,Senior,80.3,3279.18,No
CUST0197,Female,52,33,Month-to-Month,Bank Transfer,Senior,61.6,2034.98,No
CUST0198,Female,69,41,Two Year,UPI,Senior,81.94,3294.39,No
